level,poi_domain_h,poi_category_h,poi_type_h,offering_tier,offering_weight,causal_rationale,data_corr
domain,Entertainment,,,2,0.66,Cultural/nightlife consumption venues broadly cited as gentrification-era amenities (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); kept at medium weight pending category refinement.,
category,Entertainment,Bar,,2,0.66,"Craft bars/pubs are a cited retail-succession indicator but less distinctive than dedicated 'cafe culture' (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Bar,Bar,2,0.66,"Craft bars/pubs are a cited retail-succession indicator but less distinctive than dedicated 'cafe culture' (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Bar,Pub,2,0.66,"Craft bars/pubs are a cited retail-succession indicator but less distinctive than dedicated 'cafe culture' (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
category,Entertainment,Culture,,3,1.0,"Galleries/museums/theatres are a headline 'third wave' cultural-consumption signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Culture,Art Center,3,1.0,"Galleries/museums/theatres are a headline 'third wave' cultural-consumption signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Culture,Gallery,3,1.0,"Galleries/museums/theatres are a headline 'third wave' cultural-consumption signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Culture,Museum,3,1.0,"Galleries/museums/theatres are a headline 'third wave' cultural-consumption signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Culture,Theater,3,1.0,"Galleries/museums/theatres are a headline 'third wave' cultural-consumption signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
type,Entertainment,Culture,Zoo,3,1.0,"Galleries/museums/theatres are a headline 'third wave' cultural-consumption signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)).",
category,Entertainment,Leisure,,1,0.33,"Cinemas are large-format, low-frequency-turnover venues with weak neighbourhood-level compositional signal; kept low weight, not causally central.",
type,Entertainment,Leisure,Cinema,1,0.33,"Cinemas are large-format, low-frequency-turnover venues with weak neighbourhood-level compositional signal; kept low weight, not causally central.",
category,Entertainment,Nightlife,,0,0.0,"Nightclub/gambling/brothel show no established causal link to commercial gentrification in the literature (if anything, associated with pre-upgrading nightlife economies); dropped as non-causal per the 2x2 (ADR-0017 D2).",
type,Entertainment,Nightlife,Brothel,0,0.0,"Nightclub/gambling/brothel show no established causal link to commercial gentrification in the literature (if anything, associated with pre-upgrading nightlife economies); dropped as non-causal per the 2x2 (ADR-0017 D2).",
type,Entertainment,Nightlife,Gambling,0,0.0,"Nightclub/gambling/brothel show no established causal link to commercial gentrification in the literature (if anything, associated with pre-upgrading nightlife economies); dropped as non-causal per the 2x2 (ADR-0017 D2).",
type,Entertainment,Nightlife,Nightclub,0,0.0,"Nightclub/gambling/brothel show no established causal link to commercial gentrification in the literature (if anything, associated with pre-upgrading nightlife economies); dropped as non-causal per the 2x2 (ADR-0017 D2).",
domain,Gastronomy,,,2,0.66,"Sit-down dining broadly cited as a retail-succession indicator (Lees/Slater/Wyly 2008 Gentrification (retail-succession indicators: cafes, galleries, boutiques, fitness/wellness)); refined per category.",
category,Gastronomy,Cafe,,3,1.0,Independent/specialty cafes are the single most-cited 'third wave' gentrification retail signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)).,
type,Gastronomy,Cafe,Coffee,3,1.0,Independent/specialty cafes are the single most-cited 'third wave' gentrification retail signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)).,
type,Gastronomy,Cafe,Ice Cream Shop,1,0.33,"Seasonal/low-differentiation format; weak signature relative to specialty coffee, kept low weight.",
type,Gastronomy,Cafe,Other Cafes,3,1.0,Independent/specialty cafes are the single most-cited 'third wave' gentrification retail signature (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature); Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)).,
category,Gastronomy,Fast Food,,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
type,Gastronomy,Fast Food,Asian Fast Food,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
type,Gastronomy,Fast Food,Burger Fast Food,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
type,Gastronomy,Fast Food,Fries Fast Food,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
type,Gastronomy,Fast Food,Kebab Fast Food,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
type,Gastronomy,Fast Food,Other Fast Food,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
type,Gastronomy,Fast Food,Pizza Fast Food,1,0.33,"Fast food/quick-service is largely incumbent-serving and low-cost; theory does not implicate it as a gentrification-offering signal (Dangschat 1988 invasion-succession (incumbent-serving trades displaced by upgrading, not signal-bearing themselves)); kept low weight, not dropped outright since some formats do follow footfall upgrades.",
